lane,row_kind,|A|,n_cells,n_VALID_DONE,done_rate,n_excluded,n_excluded_S_ge_90_no_DONE,terminal_reason,n_reason,mean_S,n_score_missing
gpt,agent,9,57,32,0.5614035087719298,39,2,,,46.44736842105263,
flash,agent,8,57,29,0.5087719298245614,41,2,,,44.926829268292686,
claude,agent,1,57,4,0.07017543859649122,55,1,,,26.12727272727273,
gpt,excluded_by_reason,9,57,32,0.5614035087719298,39,2,MAX_STEPS:GUI,12,21.75,0
gpt,excluded_by_reason,9,57,32,0.5614035087719298,39,2,MAX_STEPS:TOOL_CALL,3,41.0,0
gpt,excluded_by_reason,9,57,32,0.5614035087719298,39,2,MAX_STEPS:WAIT,5,24.8,0
gpt,excluded_by_reason,9,57,32,0.5614035087719298,39,2,TERMINAL_FAIL:FAIL,1,0.0,0
gpt,excluded_by_reason,9,57,32,0.5614035087719298,39,2,TERMINAL_FAIL:GUI,1,,1
gpt,excluded_by_reason,9,57,32,0.5614035087719298,39,2,TERMINAL_FAIL:NO_ACTION_ABORT,2,50.0,0
gpt,excluded_by_reason,9,57,32,0.5614035087719298,39,2,TERMINAL_FAIL:PREDICT_CRASH,1,20.0,0
gpt,excluded_by_reason,9,57,32,0.5614035087719298,39,2,VALID_DONE,14,81.21428571428571,0
flash,excluded_by_reason,8,57,29,0.5087719298245614,41,2,MAX_STEPS:GUI,9,31.0,0
flash,excluded_by_reason,8,57,29,0.5087719298245614,41,2,MAX_STEPS:TOOL_CALL,4,20.75,0
flash,excluded_by_reason,8,57,29,0.5087719298245614,41,2,MAX_STEPS:WAIT,1,20.0,0
flash,excluded_by_reason,8,57,29,0.5087719298245614,41,2,TERMINAL_FAIL:FAIL,1,100.0,0
flash,excluded_by_reason,8,57,29,0.5087719298245614,41,2,TERMINAL_FAIL:NO_ACTION_ABORT,1,100.0,0
flash,excluded_by_reason,8,57,29,0.5087719298245614,41,2,TERMINAL_FAIL:PREDICT_CRASH,12,2.75,0
flash,excluded_by_reason,8,57,29,0.5087719298245614,41,2,VALID_DONE,13,94.38461538461539,0
claude,excluded_by_reason,1,57,4,0.07017543859649122,55,1,MAX_STEPS:GUI,39,22.358974358974358,0
claude,excluded_by_reason,1,57,4,0.07017543859649122,55,1,MAX_STEPS:TOOL_CALL,8,42.5,0
claude,excluded_by_reason,1,57,4,0.07017543859649122,55,1,MAX_STEPS:WAIT,1,0.0,0
claude,excluded_by_reason,1,57,4,0.07017543859649122,55,1,TERMINAL_FAIL:NO_ACTION_ABORT,5,5.0,0
claude,excluded_by_reason,1,57,4,0.07017543859649122,55,1,VALID_DONE,2,100.0,0
