model,task,condition,phase,trajectory_path,exists,last_action,done,step_count,failure_type,score,tracking,tracking_items,guest_path,notes
claude,retrieval-f001,base,phase_a_locked,results/stage4-retrieval-f001/base/retrieval-f001/traj.jsonl,true,DONE,true,6,,100,true,"{""tier"": true, ""miles"": true}",results/stage4-retrieval-f001/base/retrieval-f001.guest.json,source=stage4_reuse
claude,retrieval-f001,cf,phase_a_locked,results/stage4-retrieval-f001/cf/retrieval-f001/traj.jsonl,true,DONE,true,5,,100,true,"{""tier"": true, ""miles"": true}",results/stage4-retrieval-f001/cf/retrieval-f001.guest.json,source=stage4_reuse
claude,retrieval-f003,base,phase_b,results/phaseb-claude-retrieval-f003/base/retrieval-f003/traj.jsonl,true,DONE,true,33,,65,true,"{""w2_wages_2024"": true}",results/phaseb-claude-retrieval-f003/base/retrieval-f003.guest.json,source=phaseb
claude,retrieval-f003,cf,phase_b,results/phaseb-claude-retrieval-f003/cf/retrieval-f003/traj.jsonl,true,DONE,true,48,,65,true,"{""w2_wages_2024"": true}",results/phaseb-claude-retrieval-f003/cf/retrieval-f003.guest.json,source=phaseb
claude,retrieval-f016,base,phase_b,results/phaseb-claude-retrieval-f016/base/retrieval-f016/traj.jsonl,true,DONE,true,9,,100,true,"{""cost_basis"": true, ""cash"": true}",results/phaseb-claude-retrieval-f016/base/retrieval-f016.guest.json,source=phaseb
claude,retrieval-f016,cf,phase_b,results/phaseb-claude-retrieval-f016/cf/retrieval-f016/traj.jsonl,true,DONE,true,9,,100,true,"{""cost_basis"": true, ""cash"": true}",results/phaseb-claude-retrieval-f016/cf/retrieval-f016.guest.json,source=phaseb
claude,retrieval-f029,base,phase_b,results/phaseb-claude-retrieval-f029/base/retrieval-f029/traj.jsonl,true,DONE,true,26,,100,true,"{""wages"": true, ""fed_wh"": true, ""employer"": true}",results/phaseb-claude-retrieval-f029/base/retrieval-f029.guest.json,source=phaseb
claude,retrieval-f029,cf,phase_b,results/phaseb-claude-retrieval-f029/cf/retrieval-f029/traj.jsonl,true,DONE,true,26,,100,true,"{""wages"": true, ""fed_wh"": true, ""employer"": true}",results/phaseb-claude-retrieval-f029/cf/retrieval-f029.guest.json,source=phaseb
claude,retrieval-f030,base,phase_b,results/phaseb-claude-retrieval-f030/base/retrieval-f030/traj.jsonl,true,DONE,true,83,,100,false,"{""1099_amount"": false, ""1099_payer"": true, ""charitable"": true}",results/phaseb-claude-retrieval-f030/base/retrieval-f030.guest.json,source=phaseb
claude,retrieval-f030,cf,phase_b,results/phaseb-claude-retrieval-f030/cf/retrieval-f030/traj.jsonl,true,DONE,true,60,,100,true,"{""1099_amount"": true, ""1099_payer"": true, ""charitable"": true}",results/phaseb-claude-retrieval-f030/cf/retrieval-f030.guest.json,source=phaseb
claude,aggregation-f003,base,phase_a_locked,results/stage4-aggregation-f003/base/aggregation-f003/traj.jsonl,true,DONE,true,14,,80,true,"{""combined_refund"": true}",results/stage4-aggregation-f003/base/aggregation-f003.guest.json,source=stage4_reuse
claude,aggregation-f003,cf,phase_a_locked,results/stage4-aggregation-f003/cf/aggregation-f003/traj.jsonl,true,DONE,true,17,,80,true,"{""combined_refund"": true}",results/stage4-aggregation-f003/cf/aggregation-f003.guest.json,source=stage4_reuse
claude,aggregation-f018,base,phase_b,results/phaseb-claude-aggregation-f018/base/aggregation-f018/traj.jsonl,true,DONE,true,15,,100,true,"{""charitable_sqlite"": true, ""home_office_sqlite"": true, ""w2_held"": true, ""1099_held"": true}",results/phaseb-claude-aggregation-f018/base/aggregation-f018.guest.json,source=phaseb
claude,aggregation-f018,cf,phase_b,results/phaseb-claude-aggregation-f018/cf/aggregation-f018/traj.jsonl,true,DONE,true,58,,100,true,"{""charitable_sqlite"": true, ""home_office_sqlite"": true, ""w2_held"": true, ""1099_held"": true}",results/phaseb-claude-aggregation-f018/cf/aggregation-f018.guest.json,source=phaseb
claude,preference_inference-f004,base,phase_b,results/phaseb-claude-preference_inference-f004/base/preference_inference-f004/traj.jsonl,true,DONE,true,49,,100,true,"{""tf_top"": true, ""hd_top"": true}",results/phaseb-claude-preference_inference-f004/base/preference_inference-f004.guest.json,source=phaseb
claude,preference_inference-f004,cf,phase_b,results/phaseb-claude-preference_inference-f004/cf/preference_inference-f004/traj.jsonl,true,DONE,true,7,,79,true,"{""tf_top"": true, ""hd_top"": true}",results/phaseb-claude-preference_inference-f004/cf/preference_inference-f004.guest.json,source=phaseb
claude,preference_inference-f018,base,phase_a_locked,results/stage4-preference_inference-f018/base/preference_inference-f018/traj.jsonl,true,DONE,true,24,,100,true,"{""gme_shares"": true, ""om_yes_active"": true}",results/stage4-preference_inference-f018/base/preference_inference-f018.guest.json,source=stage4_reuse
claude,preference_inference-f018,cf,phase_a_locked,results/stage4-preference_inference-f018/cf/preference_inference-f018/traj.jsonl,true,DONE,true,6,,100,false,"{""gme_shares"": true, ""om_yes_active"": false}",results/stage4-preference_inference-f018/cf-retry-inject/preference_inference-f018.guest.json,source=stage4_reuse
claude,counterfactual-f004,base,phase_a_locked,results/stage4-counterfactual-f004/base/counterfactual-f004/traj.jsonl,true,"pyautogui.click(660, 618)",false,80,NOT_DONE,0,,{},results/stage4-counterfactual-f004/base/counterfactual-f004.guest.json,source=stage4_reuse
claude,counterfactual-f004,cf,phase_a_locked,results/stage4-counterfactual-f004/cf/counterfactual-f004/traj.jsonl,true,DONE,true,11,,87,false,"{""1099_or_improv_income"": false}",results/stage4-counterfactual-f004/cf/counterfactual-f004.guest.json,source=stage4_reuse
