model,task,condition,trajectory_path,exists,last_action,done,step_count,failure_type,notes
claude,retrieval-f001,base,results/stage4-retrieval-f001/base/retrieval-f001/traj.jsonl,true,DONE,true,6,,source=stage4_reuse
claude,retrieval-f001,cf,results/stage4-retrieval-f001/cf/retrieval-f001/traj.jsonl,true,DONE,true,5,,source=stage4_reuse
claude,retrieval-f003,base,results/phaseb-claude-retrieval-f003/base/retrieval-f003/traj.jsonl,true,DONE,true,33,,source=phaseb
claude,retrieval-f003,cf,results/phaseb-claude-retrieval-f003/cf/retrieval-f003/traj.jsonl,true,DONE,true,48,,source=phaseb
claude,retrieval-f016,base,results/phaseb-claude-retrieval-f016/base/retrieval-f016/traj.jsonl,true,DONE,true,9,,source=phaseb
claude,retrieval-f016,cf,results/phaseb-claude-retrieval-f016/cf/retrieval-f016/traj.jsonl,true,DONE,true,9,,source=phaseb
claude,retrieval-f029,base,results/phaseb-claude-retrieval-f029/base/retrieval-f029/traj.jsonl,true,DONE,true,26,,source=phaseb
claude,retrieval-f029,cf,results/phaseb-claude-retrieval-f029/cf/retrieval-f029/traj.jsonl,true,DONE,true,26,,source=phaseb
claude,retrieval-f030,base,results/phaseb-claude-retrieval-f030/base/retrieval-f030/traj.jsonl,true,DONE,true,83,,source=phaseb
claude,retrieval-f030,cf,,false,,false,0,NOT_DONE,guest_present_traj_missing_currently_running_or_not_synced; source=phaseb
claude,aggregation-f003,base,results/stage4-aggregation-f003/base/aggregation-f003/traj.jsonl,true,DONE,true,14,,source=stage4_reuse
claude,aggregation-f003,cf,results/stage4-aggregation-f003/cf/aggregation-f003/traj.jsonl,true,DONE,true,17,,source=stage4_reuse
claude,aggregation-f018,base,,false,,false,0,,missing_dir; source=phaseb
claude,aggregation-f018,cf,,false,,false,0,,missing_dir; source=phaseb
claude,preference_inference-f004,base,,false,,false,0,,missing_dir; source=phaseb
claude,preference_inference-f004,cf,,false,,false,0,,missing_dir; source=phaseb
claude,preference_inference-f018,base,results/stage4-preference_inference-f018/base/preference_inference-f018/traj.jsonl,true,DONE,true,24,,source=stage4_reuse
claude,preference_inference-f018,cf,results/stage4-preference_inference-f018/cf/preference_inference-f018/traj.jsonl,true,DONE,true,6,,source=stage4_reuse
claude,counterfactual-f004,base,results/stage4-counterfactual-f004/base/counterfactual-f004/traj.jsonl,true,"pyautogui.click(660, 618)",false,80,NOT_DONE,source=stage4_reuse
claude,counterfactual-f004,cf,results/stage4-counterfactual-f004/cf/counterfactual-f004/traj.jsonl,true,DONE,true,11,,source=stage4_reuse
openai,retrieval-f001,base,results/stage4-openai-retrieval-f001/base/retrieval-f001/traj.jsonl,true,DONE,true,13,,source=stage4_reuse
openai,retrieval-f001,cf,results/stage4-openai-retrieval-f001/cf/retrieval-f001/traj.jsonl,true,DONE,true,9,,source=stage4_reuse
openai,retrieval-f003,base,results/phaseb-openai-retrieval-f003/base/retrieval-f003/traj.jsonl,true,DONE,true,34,,source=phaseb
openai,retrieval-f003,cf,results/phaseb-openai-retrieval-f003/cf/retrieval-f003/traj.jsonl,true,DONE,true,63,,source=phaseb
openai,retrieval-f016,base,results/phaseb-openai-retrieval-f016/base/retrieval-f016/traj.jsonl,true,DONE,true,14,,source=phaseb
openai,retrieval-f016,cf,results/phaseb-openai-retrieval-f016/cf/retrieval-f016/traj.jsonl,true,DONE,true,20,,source=phaseb
openai,retrieval-f029,base,results/phaseb-openai-retrieval-f029/base/retrieval-f029/traj.jsonl,true,DONE,true,41,,source=phaseb
openai,retrieval-f029,cf,results/phaseb-openai-retrieval-f029/cf/retrieval-f029/traj.jsonl,true,DONE,true,56,,source=phaseb
openai,retrieval-f030,base,results/phaseb-openai-retrieval-f030/base/retrieval-f030/traj.jsonl,true,DONE,true,55,,source=phaseb
openai,retrieval-f030,cf,results/phaseb-openai-retrieval-f030/cf/retrieval-f030/traj.jsonl,true,DONE,true,35,,source=phaseb
openai,aggregation-f003,base,results/stage4-openai-aggregation-f003/base/aggregation-f003/traj.jsonl,true,DONE,true,28,,source=stage4_reuse
openai,aggregation-f003,cf,results/stage4-openai-aggregation-f003/cf/aggregation-f003/traj.jsonl,true,DONE,true,21,,source=stage4_reuse
openai,aggregation-f018,base,results/phaseb-openai-aggregation-f018/base/aggregation-f018/traj.jsonl,true,DONE,true,31,,source=phaseb
openai,aggregation-f018,cf,results/phaseb-openai-aggregation-f018/cf/aggregation-f018/traj.jsonl,true,EMPTY_XML,false,71,OTHER_EXECUTION_FAILURE,source=phaseb; empty_xml_info
openai,preference_inference-f004,base,results/phaseb-openai-preference_inference-f004/base/preference_inference-f004/traj.jsonl,true,DONE,true,32,,source=phaseb
openai,preference_inference-f004,cf,results/phaseb-openai-preference_inference-f004/cf/preference_inference-f004/traj.jsonl,true,DONE,true,37,,source=phaseb
openai,preference_inference-f018,base,results/stage4-openai-preference_inference-f018/base/preference_inference-f018/traj.jsonl,true,TOOL_CALL,false,19,TOOL_CALL_FAILURE,source=stage4_reuse
openai,preference_inference-f018,cf,results/stage4-openai-preference_inference-f018/cf/preference_inference-f018/traj.jsonl,true,TOOL_CALL,false,16,TOOL_CALL_FAILURE,source=stage4_reuse
openai,counterfactual-f004,base,results/stage4-openai-counterfactual-f004/base/counterfactual-f004/traj.jsonl,true,DONE,true,65,,source=stage4_reuse
openai,counterfactual-f004,cf,results/stage4-openai-counterfactual-f004/cf/counterfactual-f004/traj.jsonl,true,DONE,true,40,,source=stage4_reuse
qwen35a3b,retrieval-f001,base,results/stage4-qwen35a3b-retrieval-f001/base/retrieval-f001/traj.jsonl,true,DONE,true,7,,source=stage4_reuse
qwen35a3b,retrieval-f001,cf,results/stage4-qwen35a3b-retrieval-f001/cf/retrieval-f001/traj.jsonl,true,DONE,true,7,,source=stage4_reuse
qwen35a3b,retrieval-f003,base,results/phaseb-qwen35a3b-retrieval-f003/base/retrieval-f003/traj.jsonl,true,"pyautogui.click(88, 93)",false,80,NOT_DONE,source=phaseb
qwen35a3b,retrieval-f003,cf,results/phaseb-qwen35a3b-retrieval-f003/cf/retrieval-f003/traj.jsonl,true,EMPTY_XML,false,2,PARSER_FAILURE,source=phaseb; empty_xml_info
qwen35a3b,retrieval-f016,base,results/phaseb-qwen35a3b-retrieval-f016/base/retrieval-f016/traj.jsonl,true,DONE,true,10,,source=phaseb
qwen35a3b,retrieval-f016,cf,results/phaseb-qwen35a3b-retrieval-f016/cf/retrieval-f016/traj.jsonl,true,EMPTY_XML,false,2,PARSER_FAILURE,source=phaseb; empty_xml_info
qwen35a3b,retrieval-f029,base,results/phaseb-qwen35a3b-retrieval-f029/base/retrieval-f029/traj.jsonl,true,EMPTY_XML,false,2,PARSER_FAILURE,source=phaseb; empty_xml_info
qwen35a3b,retrieval-f029,cf,results/phaseb-qwen35a3b-retrieval-f029/cf/retrieval-f029/traj.jsonl,true,EMPTY_XML,false,2,PARSER_FAILURE,source=phaseb; empty_xml_info
qwen35a3b,retrieval-f030,base,results/phaseb-qwen35a3b-retrieval-f030/base/retrieval-f030/traj.jsonl,true,EMPTY_XML,false,59,PARSER_FAILURE,source=phaseb; empty_xml_info
qwen35a3b,retrieval-f030,cf,results/phaseb-qwen35a3b-retrieval-f030/cf/retrieval-f030/traj.jsonl,true,EMPTY_XML,false,2,PARSER_FAILURE,source=phaseb; empty_xml_info
qwen35a3b,aggregation-f003,base,results/stage4-qwen35a3b-aggregation-f003/base/aggregation-f003/traj.jsonl,true,DONE,true,14,,source=stage4_reuse
qwen35a3b,aggregation-f003,cf,results/stage4-qwen35a3b-aggregation-f003/cf/aggregation-f003/traj.jsonl,true,FAIL,false,26,OTHER_EXECUTION_FAILURE,source=stage4_reuse
qwen35a3b,aggregation-f018,base,results/phaseb-qwen35a3b-aggregation-f018/base/aggregation-f018/traj.jsonl,true,EMPTY_XML,false,80,PARSER_FAILURE,source=phaseb; empty_xml_info
qwen35a3b,aggregation-f018,cf,results/phaseb-qwen35a3b-aggregation-f018/cf/aggregation-f018/traj.jsonl,true,FAIL,false,22,OTHER_EXECUTION_FAILURE,source=phaseb
